number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
14,0.9285612710384902,2026-05-29 01:40:31.652267,2026-05-29 01:40:32.355391,0 days 00:00:00.703124,0.7337344348736514,5.742039051540547e-07,0.11665437703311496,4,6,300,1.8649139232984104e-05,0.5709831496754408,0.7664125867669591,COMPLETE
15,0.9288849524227556,2026-05-29 01:40:32.356389,2026-05-29 01:40:33.124789,0 days 00:00:00.768400,0.8561711433906496,0.001225207574032172,0.11149348701482943,8,3,700,0.027682559458258416,0.001153563558256608,0.8704442519433381,COMPLETE
16,0.9280059659109995,2026-05-29 01:40:33.125788,2026-05-29 01:40:36.681265,0 days 00:00:03.555477,0.7019847524469807,1.0199578723280474e-08,0.006913509480943923,6,2,900,1.314053143275926e-08,0.0358985394248392,0.9344291259107609,COMPLETE
17,0.9283757161060722,2026-05-29 01:40:36.683266,2026-05-29 01:40:37.451779,0 days 00:00:00.768513,0.7694004784138841,3.965908517535286e-06,0.15457544105957147,9,5,1000,8.315480332776616,0.010106912234462565,0.9406069544760227,COMPLETE
18,0.9267003630158307,2026-05-29 01:40:37.453780,2026-05-29 01:40:39.793543,0 days 00:00:02.339763,0.6472416279403943,1.3832200934843655e-07,0.008587460098486937,6,2,600,3.9233028601151885e-05,0.3084458433057232,0.6026168324121943,COMPLETE
19,0.9281685664185882,2026-05-29 01:40:39.795540,2026-05-29 01:40:40.985283,0 days 00:00:01.189743,0.8577878287603938,1.0037771935890008e-07,0.062248127926321055,4,9,1200,0.0014257486246103041,0.053183672621797996,0.8362327113486467,COMPLETE
20,0.9274852123916143,2026-05-29 01:40:40.987285,2026-05-29 01:40:41.449352,0 days 00:00:00.462067,0.9780383022354942,0.00044931284687387533,0.29361015628055154,8,4,800,0.028214456422822047,0.003125157306503992,0.7730029307506638,COMPLETE
21,0.9281153793366667,2026-05-29 01:40:41.450359,2026-05-29 01:40:42.326582,0 days 00:00:00.876223,0.847795247325235,0.013769971754070926,0.09211795174694275,9,3,700,0.02673123732136458,0.0011733663087581622,0.8847052315801119,COMPLETE
22,0.9282437481584472,2026-05-29 01:40:42.329092,2026-05-29 01:40:42.945766,0 days 00:00:00.616674,0.9004574799105522,0.00018367354797225657,0.13883238679139032,8,2,600,0.02238028817984843,0.0010894452436637796,0.8621788559423312,COMPLETE
23,0.9273238115926404,2026-05-29 01:40:42.946767,2026-05-29 01:40:43.646796,0 days 00:00:00.700029,0.7641587946853241,0.12464583897866933,0.1811882062423596,10,3,700,0.0005130939067047267,0.0042399887892659565,0.9072436321092163,COMPLETE
24,0.9290305170680145,2026-05-29 01:40:43.647793,2026-05-29 01:40:45.425851,0 days 00:00:01.778058,0.8647385255288746,0.0025300300339812613,0.037479828515583645,9,1,900,2.189407610744073e-05,0.021473523229717767,0.8106550849823198,COMPLETE
25,0.9285946229379808,2026-05-29 01:40:45.426850,2026-05-29 01:40:47.055766,0 days 00:00:01.628916,0.9700505870963767,3.1656732788500815e-05,0.03590065145907961,9,1,1000,2.3659406793239527e-05,0.07523235211696633,0.799668262819723,COMPLETE
26,0.9285192012563989,2026-05-29 01:40:47.056768,2026-05-29 01:40:52.764014,0 days 00:00:05.707246,0.6907939095057634,0.002937392540611924,0.011271240840535149,10,2,900,5.273172980898777e-06,0.018513109662623484,0.7324306339117302,COMPLETE
27,0.9304290573905409,2026-05-29 01:40:52.766013,2026-05-29 01:40:54.849872,0 days 00:00:02.083859,0.6303152210546972,4.8211400345489965e-08,0.02685885189360138,7,1,1100,3.089981531660265e-08,0.02418879832844087,0.9630995159864814,COMPLETE
28,0.9283455634295542,2026-05-29 01:40:54.851873,2026-05-29 01:40:58.105538,0 days 00:00:03.253665,0.6361906244799103,7.698547266883806e-08,0.013162988870995795,4,6,1200,3.668116183096266e-08,0.005667900298370093,0.965178866620514,COMPLETE
29,0.9299363770527415,2026-05-29 01:40:58.105538,2026-05-29 01:41:00.337318,0 days 00:00:02.231780,0.7109869669928413,8.363788622488751e-07,0.0252938449479664,7,4,1100,1.5093605337580774e-07,1.0469751348056795,0.9212667336120798,COMPLETE
